"","ligand","receptor"
"1","A2m","Lrp1"
"2","Aanat","Mtnr1a"
"3","Aanat","Mtnr1b"
"4","Ace","Agtr2"
"5","Ace","Bdkrb2"
"6","Adam10","Axl"
"7","Adam10","Epha3"
"8","Adam12","Itga9"
"9","Adam12","Itgb1"
"10","Adam12","Sdc4"
"11","Adam15","Itga5"
"12","Adam15","Itga9"
"13","Adam15","Itgav"
"14","Adam15","Itgb1"
"15","Adam15","Itgb3"
"16","Adam17","Erbb4"
"17","Adam17","Itga5"
"18","Adam17","Itgb1"
"19","Adam17","Notch1"
"20","Adam23","Itga5"
"21","Adam23","Itgb3"
"22","Adam28","Itga4"
"23","Adam2","Cd9"
"24","Adam2","Itga6"
"25","Adam2","Itga9"
"26","Adam2","Itgb1"
"27","Adam2","Itgb7"
"28","Adam9","Itga3"
"29","Adam9","Itga6"
"30","Adam9","Itgav"
"31","Adam9","Itgb1"
"32","Adam9","Itgb5"
"33","Adcyap1","Adcyap1r1"
"34","Adcyap1","Sctr"
"35","Adcyap1","Vipr1"
"36","Adcyap1","Vipr2"
"37","Adipoq","Adipor1"
"38","Adipoq","Adipor2"
"39","Adm2","Calcr"
"40","Adm2","Calcrl"
"41","Adm2","Ramp1"
"42","Adm","Calcr"
"43","Adm","Calcrl"
"44","Adm","Gpr182"
"45","Adm","Mrgpra6"
"46","Adm","Ramp2"
"47","Agrn","Atp1a3"
"48","Agrn","Lrp4"
"49","Agrn","Musk"
"50","Agrp","Mc3r"
"51","Agrp","Mc4r"
"52","Agrp","Mc5r"
"53","Agrp","Sdc3"
"54","Agt","Agtr1b"
"55","Agt","Agtr2"
"56","Agt","Lrp2"
"57","Agt","Mas1"
"58","Ahsg","Insr"
"59","Alb","Lrp2"
"60","Amelx","Lamp1"
"62","Amh","Acvr1"
"63","Amh","Amhr2"
"64","Amh","Egfr"
"65","Angpt1","Itga5"
"66","Angpt1","Tek"
"67","Angpt1","Tie1"
"68","Angpt2","Tek"
"69","Angpt4","Tek"
"70","Angptl1","Tek"
"71","Angptl3","Itga5"
"72","Angptl3","Itgav"
"73","Angptl3","Itgb3"
"74","Anxa1","Dysf"
"75","Anxa1","Egfr"
"76","Anxa1","Fpr1"
"77","Anxa1","Fpr2"
"79","Apln","Aplnr"
"80","Apob","Ldlr"
"81","Apob","Lrp2"
"84","Apod","Lepr"
"85","Apoe","Ldlr"
"86","Apoe","Lrp1"
"87","Apoe","Lrp2"
"88","Apoe","Lrp5"
"89","Apoe","Lrp8"
"90","Apoe","Scarb1"
"91","Apoe","Sorl1"
"92","Apoe","Vldlr"
"93","App","Cav1"
"94","App","Cd74"
"95","App","Fpr2"
"96","App","Gpc1"
"97","App","Lrp1"
"98","App","Ncstn"
"99","App","Tnfrsf21"
"101","Areg","Egfr"
"102","Areg","Erbb3"
"103","Arf1","Chrm3"
"104","Arf1","Insr"
"105","Arf1","Pld2"
"106","Artn","Gfra1"
"107","Artn","Gfra3"
"108","Artn","Ret"
"109","a","Atrn"
"110","a","F11r"
"111","a","Mc1r"
"112","a","Mc2r"
"113","a","Mc3r"
"114","a","Mc4r"
"115","a","Mc5r"
"116","Avp","Avpr1a"
"117","Avp","Avpr1b"
"118","Avp","Avpr2"
"119","Avp","Oxtr"
"120","Azgp1","Itgav"
"123","B2m","Hfe"
"124","B2m","H2-Q5"
"125","B2m","Pira2"
"126","Bdnf","Ngfr"
"128","Bdnf","Ntrk2"
"129","Bdnf","Sort1"
"130","Bgn","Tlr2"
"131","Bgn","Tlr4"
"132","Bmp10","Acvr2a"
"133","Bmp10","Acvrl1"
"134","Bmp10","Bmpr1a"
"135","Bmp10","Bmpr1b"
"136","Bmp10","Bmpr2"
"137","Bmp10","Eng"
"138","Bmp15","Acvr2a"
"139","Bmp15","Bmpr1a"
"140","Bmp15","Bmpr1b"
"141","Bmp15","Bmpr2"
"142","Bmp2","Acvr1"
"143","Bmp2","Acvr2a"
"144","Bmp2","Acvr2b"
"145","Bmp2","Bmpr1a"
"146","Bmp2","Bmpr1b"
"147","Bmp2","Bmpr2"
"148","Bmp2","Eng"
"150","Bmp3","Acvr2b"
"151","Bmp4","Bmpr1a"
"152","Bmp4","Bmpr1b"
"153","Bmp4","Bmpr2"
"154","Bmp5","Bmpr1a"
"155","Bmp6","Acvr1"
"156","Bmp6","Acvr2a"
"157","Bmp6","Bmpr1a"
"158","Bmp6","Bmpr1b"
"159","Bmp6","Bmpr2"
"160","Bmp7","Acvr1"
"161","Bmp7","Acvr2a"
"162","Bmp7","Acvr2b"
"163","Bmp7","Bmpr1a"
"164","Bmp7","Bmpr1b"
"165","Bmp7","Bmpr2"
"166","Bmp7","Eng"
"167","Bst1","Cav1"
"168","Btc","Egfr"
"169","Btc","Erbb2"
"170","Btc","Erbb3"
"171","Btc","Erbb4"
"172","Btla","Cd79a"
"173","Btla","Tnfrsf14"
"174","Btla","Vtcn1"
"175","C1qa","Cd93"
"176","C1qa","Cr1l"
"177","C1qa","Cspg4"
"178","C1qb","Lrp1"
"179","C1qtnf1","Avpr2"
"180","C1qtnf5","Mfrp"
"181","C3","C3ar1"
"182","C3","C5ar2"
"183","C3","Cd19"
"184","C3","Cd46"
"185","C3","Cr1l"
"187","C3","Itgax"
"188","C3","Itgb2"
"189","C3","Lrp1"
"190","C4b","C3ar1"
"191","C4b","C5ar2"
"192","C4b","Cr1l"
"193","C4bp","Bmpr2"
"194","C4bp","Cd40"
"195","C4bp","Lrp1"
"196","C4b","Cd46"
"197","C4b","Cr1l"
"198","Hc","C5ar1"
"199","Hc","C5ar2"
"201","Calca","Calcr"
"202","Calca","Calcrl"
"203","Calca","Ramp1"
"204","Calca","Ramp2"
"205","Calcb","Calcr"
"206","Calcb","Calcrl"
"207","Calcb","Ramp1"
"208","Calr","Itga2b"
"209","Calr","Itga3"
"210","Calr","Itgav"
"211","Calr","Lrp1"
"212","Calr","Mtnr1a"
"213","Calr","Scarf1"
"214","Calr","Tshr"
"215","Camp","Fpr2"
"216","Cck","Cckar"
"217","Cck","Cckbr"
"218","Ccl11","Ackr2"
"219","Ccl11","Ackr4"
"220","Ccl11","Ccr2"
"221","Ccl11","Ccr3"
"222","Ccl11","Ccr5"
"223","Ccl11","Cxcr3"
"235","Ccl9","Ccr1"
"236","Ccl9","Ccr3"
"242","Ccl17","Ccr4"
"243","Ccl17","Ccr8"
"246","Ccl19","Ackr2"
"247","Ccl19","Ackr4"
"248","Ccl19","Ccr10"
"249","Ccl19","Ccr7"
"250","Ccl19","Ccrl2"
"251","Ccl19","Cxcr3"
"253","Ccl20","Ccr6"
"254","Ccl20","Cxcr3"
"255","Ccl21d","Ackr2"
"256","Ccl21d","Ackr4"
"257","Ccl21d","Ccr7"
"258","Ccl21d","Cxcr3"
"259","Ccl22","Ccr4"
"260","Ccl9","Ccr1"
"261","Ccl24","Ccr2"
"262","Ccl24","Ccr3"
"270","Ccl27a","Ackr2"
"271","Ccl27a","Ccr10"
"272","Ccl28","Ackr2"
"273","Ccl28","Ccr10"
"274","Ccl28","Ccr3"
"275","Ccl2","Ackr2"
"276","Ccl2","Ackr4"
"277","Ccl2","Ccr1"
"278","Ccl2","Ccr10"
"279","Ccl2","Ccr2"
