"","cell","cluster"
"GK5a.M2.1_5","GK5a.M2.1_5",11
"GK5a.M2.1_6","GK5a.M2.1_6",11
"GK5a.M2.1_12","GK5a.M2.1_12",2
"GK5a.M2.1_13","GK5a.M2.1_13",3
"GK5a.M2.1_18","GK5a.M2.1_18",1
"GK5a.M2.1_21","GK5a.M2.1_21",4
"GK5a.M2.1_28","GK5a.M2.1_28",2
"GK5a.M2.1_33","GK5a.M2.1_33",1
"GK5a.M2.1_36","GK5a.M2.1_36",6
"GK5a.M2.1_39","GK5a.M2.1_39",1
"GK5a.M2.1_40","GK5a.M2.1_40",4
"GK5a.M2.1_42","GK5a.M2.1_42",1
"GK5a.M2.1_47","GK5a.M2.1_47",1
"GK5a.M2.1_52","GK5a.M2.1_52",1
"GK5a.M2.1_53","GK5a.M2.1_53",1
"GK5a.M2.1_54","GK5a.M2.1_54",6
"GK5a.M2.1_60","GK5a.M2.1_60",4
"GK5a.M2.1_61","GK5a.M2.1_61",1
"GK5a.M2.1_63","GK5a.M2.1_63",1
"GK5a.M2.1_64","GK5a.M2.1_64",2
"GK5a.M2.1_65","GK5a.M2.1_65",7
"GK5a.M2.1_68","GK5a.M2.1_68",6
"GK5a.M2.1_71","GK5a.M2.1_71",1
"GK5a.M2.1_72","GK5a.M2.1_72",11
"GK5a.M2.1_79","GK5a.M2.1_79",1
"GK5a.M2.1_86","GK5a.M2.1_86",11
"GK5a.M2.1_93","GK5a.M2.1_93",18
"GK5a.M2.1_95","GK5a.M2.1_95",3
"GK5a.M2.1_100","GK5a.M2.1_100",3
"GK5a.M2.1_101","GK5a.M2.1_101",1
"GK5a.M2.1_103","GK5a.M2.1_103",2
"GK5a.M2.1_104","GK5a.M2.1_104",1
"GK5a.M2.1_105","GK5a.M2.1_105",1
"GK5a.M2.1_109","GK5a.M2.1_109",5
"GK5a.M2.1_111","GK5a.M2.1_111",1
"GK5a.M2.1_114","GK5a.M2.1_114",1
"GK5a.M2.1_115","GK5a.M2.1_115",1
"GK5a.M2.1_117","GK5a.M2.1_117",5
"GK5a.M2.1_118","GK5a.M2.1_118",1
"GK5a.M2.1_120","GK5a.M2.1_120",2
"GK5a.M2.1_121","GK5a.M2.1_121",1
"GK5a.M2.1_122","GK5a.M2.1_122",7
"GK5a.M2.1_123","GK5a.M2.1_123",5
"GK5a.M2.1_124","GK5a.M2.1_124",5
"GK5a.M2.1_125","GK5a.M2.1_125",1
"GK5a.M2.1_126","GK5a.M2.1_126",1
"GK5a.M2.1_127","GK5a.M2.1_127",1
"GK5a.M2.1_128","GK5a.M2.1_128",1
"GK5a.M2.1_130","GK5a.M2.1_130",1
"GK5a.M2.1_131","GK5a.M2.1_131",6
"GK5a.M2.1_132","GK5a.M2.1_132",7
"GK5a.M2.1_133","GK5a.M2.1_133",1
"GK5a.M2.1_134","GK5a.M2.1_134",1
"GK5a.M2.1_135","GK5a.M2.1_135",3
"GK5a.M2.1_136","GK5a.M2.1_136",3
"GK5a.M2.1_140","GK5a.M2.1_140",14
"GK5a.M2.1_141","GK5a.M2.1_141",6
"GK5a.M2.1_142","GK5a.M2.1_142",1
"GK5a.M2.1_147","GK5a.M2.1_147",1
"GK5a.M2.1_148","GK5a.M2.1_148",3
"GK5a.M2.1_150","GK5a.M2.1_150",2
"GK5a.M2.1_153","GK5a.M2.1_153",7
"GK5a.M2.1_154","GK5a.M2.1_154",1
"GK5a.M2.1_159","GK5a.M2.1_159",5
"GK5a.M2.1_160","GK5a.M2.1_160",3
"GK5a.M2.1_163","GK5a.M2.1_163",6
"GK5a.M2.1_164","GK5a.M2.1_164",7
"GK5a.M2.1_165","GK5a.M2.1_165",7
"GK5a.M2.1_170","GK5a.M2.1_170",11
"GK5a.M2.1_171","GK5a.M2.1_171",5
"GK5a.M2.1_173","GK5a.M2.1_173",1
"GK5a.M2.1_174","GK5a.M2.1_174",6
"GK5a.M2.1_175","GK5a.M2.1_175",1
"GK5a.M2.1_176","GK5a.M2.1_176",1
"GK5a.M2.1_178","GK5a.M2.1_178",1
"GK5a.M2.1_180","GK5a.M2.1_180",6
"GK5a.M2.1_183","GK5a.M2.1_183",1
"GK5a.M2.1_185","GK5a.M2.1_185",1
"GK5a.M2.1_188","GK5a.M2.1_188",3
"GK5a.M2.1_191","GK5a.M2.1_191",1
"GK5a.M2.1_195","GK5a.M2.1_195",1
"GK5a.M2.1_196","GK5a.M2.1_196",5
"GK5a.M2.1_201","GK5a.M2.1_201",1
"GK5a.M2.1_202","GK5a.M2.1_202",5
"GK5a.M2.1_205","GK5a.M2.1_205",1
"GK5a.M2.1_207","GK5a.M2.1_207",5
"GK5a.M2.1_216","GK5a.M2.1_216",1
"GK5a.M2.1_218","GK5a.M2.1_218",1
"GK5a.M2.1_221","GK5a.M2.1_221",1
"GK5a.M2.1_222","GK5a.M2.1_222",5
"GK5a.M2.1_223","GK5a.M2.1_223",1
"GK5a.M2.1_224","GK5a.M2.1_224",1
"GK5a.M2.1_225","GK5a.M2.1_225",2
"GK5a.M2.1_226","GK5a.M2.1_226",18
"GK5a.M2.1_232","GK5a.M2.1_232",7
"GK5a.M2.1_239","GK5a.M2.1_239",1
"GK5a.M2.1_250","GK5a.M2.1_250",5
"GK5a.M2.1_252","GK5a.M2.1_252",4
"GK5a.M2.1_256","GK5a.M2.1_256",11
"GK5a.M2.1_260","GK5a.M2.1_260",1
"GK5a.M2.1_262","GK5a.M2.1_262",3
"GK5a.M2.1_266","GK5a.M2.1_266",17
