"","cluster1","cluster2","type"
"1","9","18","Significantly enriched"
"2","2","8","Significantly enriched"
"3","2","11","Significantly enriched"
"4","6","11","Significantly enriched"
"5","6","12","Significantly enriched"
"6","1","4","Significantly enriched"
"7","4","11","Significantly enriched"
"8","5","15","Significantly enriched"
"9","7","17","Significantly enriched"
"10","1","3","Significantly depleted"
"11","1","6","Significantly depleted"
"12","3","4","Significantly depleted"
"13","5","6","Significantly depleted"
"14","4","12","Significantly depleted"
"15","12","19","Significantly depleted"
