"","cluster1","cluster2","type"
"15","4","11","Significantly enriched"
"16","5","10","Significantly enriched"
"17","1","19","Significantly enriched"
"18","9","19","Significantly enriched"
"19","10","18","Significantly enriched"
"20","6","11","Significantly enriched"
"21","5","15","Significantly enriched"
"22","3","7","Significantly enriched"
"23","1","5","Significantly enriched"
"24","1","8","Significantly enriched"
"25","2","6","Significantly enriched"
"26","9","18","Significantly enriched"
"27","2","8","Significantly enriched"
"28","2","11","Significantly enriched"
"29","6","12","Significantly enriched"
"30","1","4","Significantly enriched"
"31","7","17","Significantly enriched"
"32","3","17","Significantly enriched"
