"","cluster1","cluster2","type"
"1","5","7","Significantly depleted"
"2","5","6","Significantly depleted"
"3","5","17","Significantly depleted"
"4","3","6","Significantly depleted"
"5","1","2","Significantly depleted"
"6","4","6","Significantly depleted"
"7","4","15","Significantly depleted"
"8","3","4","Significantly depleted"
"9","1","3","Significantly depleted"
"10","4","12","Significantly depleted"
"11","12","19","Significantly depleted"
"12","1","7","Significantly depleted"
"13","2","5","Significantly depleted"
"14","6","7","Significantly depleted"
